Download Labels,Télécharger étiquettes
ID,Identifiant
Created At,Créé le
Title,Titre
Vendor,Vendeur
Label Type,Type d'étiquette
# of Shipments,Nombre de livraisons
Action,action
Label Batches,étiquette batchs
Shipment #,Expédition
Date Shipped,Date d'expédition 
Total Qty,Quantité Totale
Shipping Price,Frais de port
Status,Statut
Method,Méthode
Order #,Commande #
Order Date,Date de la commande
Order Status,État de la Commande
Order Total,Total de la Commande
$poStr #,$postr #
$poStr Date,Date de $postr
$poStr Status,Statut $postr
$poStr Subtotal,Sous-total $postr
$poStr Total Cost,$postr Total
$poStr Tax Amount,Montant $postr impôt
$poStr Shipping Price,Expédition $postr Prix
$poStr Total Qty,$postr total Qté
Tracking #,Suivi
Tracking Total,suivi total
Tax State,Etat fiscal
Order coupon codes,codes promo Commander
CSV,CSV
XML,XML
Dropship ,Drop-shipping 
PO #,Pr
PO Date,PO Date
PO Status,PO Status
PO Shipping Price,PO Prix de livraison
PO Item SKU,PO article SKU
PO Item Name,PO Nom de l'article
PO Item Price,PO article Prix
PO Item Discount,PO Discount article
PO Item Cost,Coût PO article
PO Item Qty,PO Item Qté
PO Item Tax,Taxe PO article
PO Item Row Total,PO article rang total
Dropship Item Details Report,Rapport dropship Point Détails
Ship to Name,Ship to Nom
Ship to First name,Ship to Prénom
Ship to Last name,Navire Nom
Statement Ready At,Déclaration Prêt à
View,Voir
Resend PO Notifications,Renvoyez Notifications PO
Mark as shipped,Marquer comme expédié
Shipping Info,Informations de livraison
Shipping Method Code,Livraison Code Méthode
Shipping Method Title,Méthode d'expédition Titre
Days In Transit,Jours en transit
Websites,Sites Web
Associated System Methods,Méthodes système associés
* Not used,Non utilisé
* Any available,* Tout disponible
Titles,Titres
Default Title,Titre par défaut:
Default Title for All Store Views,Titre par défaut pour toutes les vues de magasin
Store View Specific Title,Voir le magasin Titre spécifique
Manage Shipping,gérer Expédition
Shipping Information,Information sur la Livraison
Save Shipping Method,Enregistrer le mode de livraison
Delete Shipping Method,Supprimer le mode de livraison
Edit Method '%s,Modifier la méthode de l « %
New Method,Méthode nouvelle
All websites,tous les sites Web
Method Code,code de la méthode
Method Title,méthode Titre
Website,Le site web
