Download Labels,Download de etiquetas
ID,identidade
Created At,Criado em
Title,Título
Vendor,Fornecedor
Label Type,Tipo de etiqueta
# of Shipments,# De remessas
Action,Açao
Label Batches,Lotes de etiquetas
Shipment #,Envio #
Date Shipped,data de envio
Total Qty,quantidade total
Shipping Price,Preço de envio
Status,Status
Method,Método
Order #,Ordem #
Order Date,Data do pedido
Order Status,Status do pedido
Order Total,total de pedidos
$poStr #,$ PoStr #
$poStr Date,$ PoStr Data
$poStr Status,$ PoStr Status
$poStr Subtotal,$ PoStr Subtotal
$poStr Total Cost,$ PoStr Custo total
$poStr Tax Amount,$ PoStr Imposto Montante
$poStr Shipping Price,$ PoStr Preço de envio
$poStr Total Qty,$ PoStr Quantidade total
Tracking #,Rastreamento #
Tracking Total,Total de acompanhamento
Tax State,Estado Fiscal
Order coupon codes,Códigos de cupão de encomendas
CSV,CSV
XML,XML
Dropship ,Dropship
PO #,PO #
PO Date,PO Data
PO Status,Status do pedido
PO Shipping Price,Preço de envio
PO Item SKU,PO Item SKU
PO Item Name,Nome do item do PO
PO Item Price,PO Item Preço
PO Item Discount,Desconto de Item de PO
PO Item Cost,PO Item Custo
PO Item Qty,Quantidade do item de pedido
PO Item Tax,Imposto de item PO
PO Item Row Total,PO Item Row Total
Dropship Item Details Report,Relatório de detalhes do item Dropship
Ship to Name,Enviar para Nome
Ship to First name,Nome do envio
Ship to Last name,Enviar para sobrenome
Statement Ready At,Declaração pronta em
View,Visão
Resend PO Notifications,Reenviar notificações de pedido
Mark as shipped,Marcar como enviado
Shipping Info,Informação de Envio
Shipping Method Code,Código do Método de Envio
Shipping Method Title,Método de envio Título
Days In Transit,Dias em trânsito
Websites,Websites
Associated System Methods,Métodos do Sistema Associado
* Not used,* Não usado
* Any available,* Qualquer disponível
Titles,Títulos
Default Title,Título Padrão
Default Title for All Store Views,Título padrão para todas as visualizações da loja
Store View Specific Title,Exibir título específico da loja
Manage Shipping,Gerenciar Envio
Shipping Information,Informação de envio
Save Shipping Method,Guardar método de envio
Delete Shipping Method,Excluir método de envio
Edit Method '%s,Editar o método '% s
New Method,Novo método
All websites,Todos os sites
Method Code,Código de Método
Method Title,Título do método
Website,Local na rede Internet
System Methods,Métodos do sistema
Delete,Excluir
Are you sure?,Você tem certeza?
Manage Shipping Methods,Gerenciar métodos de envio
Add New Shipping Method,Adicionar novo método de envio
Select Category,Selecione a Categoria
Add Carrier,Adicionar Portador
Custom Vendor Information,Informação personalizada do fornecedor
Custom Data,Dados Personalizados
"
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
","
Digite dados personalizados para esse fornecedor. <br/>
Cada parte deve começar com: <br/>
<Pre> ===== part_name ===== </ pre> <br/>
As peças podem ser referenciadas a partir de um modelo de produto como este:
<Xmp>
<? Php echo Mage :: ajudante ('udropship')
  -> getVendor (\ $ _ product)
    -> getData ('part_name')?>
</ Xmp>
"
Vendor Info,Informação do Fornecedor
Vendor Name,Nome do vendedor
Membership Profile,Perfil do quadro social
* Please select,* Por favor selecione
Membership,Adesão
Allow Microsite,Permitir Microsite
Limit Products,Limite de Produtos
Billing Type,Tipo de faturamento
DO NOT Automatically synchronize status with profile,NÃO Sincronizar automaticamente o status com o perfil
Reject Reason,Rejeitar a razão
Send Reject Email,Enviar rejeitar e-mail
Resend Confirmation Email,Reenviar e-mail de confirmação
Send Confirmation Email,Enviar e-mail de confirmação
Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email.,"Reenviar e-mail de confirmação irá redefinir a senha (revogar a antiga). Nova senha será enviada ao fornecedor em e-mail separado, uma vez que ele clicar no link neste e-mail de confirmação."
Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.,"Enviar email de confirmação. A senha será enviada ao fornecedor em um e-mail separado, uma vez que ele clicar no link neste e-mail de confirmação."
Waiting for email confirmation,Aguardando confirmação por e-mail
No,Não
Yes,sim
Preferred Carrier,Operadora Preferida
Use Rates Fallback Chain,Cadeia de Tarifas de Tarifas de Uso
Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier,"Vai tentar encontrar a taxa de estimativa disponível para dropship métodos de envio, a fim de 1. Estimativa Do Portador <br> 2. Substituir portadora <br> 3. Default Carrier"
Vendor Email,E-mail do fornecedor
Email is also used as username,O e-mail também é usado como nome de usuário
New Password,Nova senha
Leave empty for no change,Deixe vazio para nenhuma alteração
Log In Password,Senha de login
Login disabled if empty,Login desativado se vazio
Vendor Telephone,Telefone Fornecedor
Phone number is required for FedEx label printing,O número de telefone é obrigatório para a impressão de etiquetas FedEx
Vendor Fax,Fornecedor Fax
Use Default Configuration,Usar configuração padrão
Notification Template,Modelo de notificação
Allow shipping extra charge,Permitir frete adicional
Default shipping extra charge suffix,Suplemento de carga adicional de envio padrão
Default shipping extra charge type,Tipo de taxa de envio adicional padrão
Default shipping extra charge,Taxa de envio adicional padrão
Is extra charge shipping default,É padrão de envio de carga extra
URL friendly identifier,Identificador amigável de URL
Please select state...,Selecione o estado ...
Shipping Origin Address,Endereço de Origem de Envio
Attention To,Atenção a
Street,Rua
City,Cidade
Zip / Postal code,CEP / Código Postal
Country,País
Please select Country,Por favor selecione País
State,Estado
Please select State,Por favor selecione Estado
Billing Address,endereço de cobrança
Same as Shipping,Igual ao envio
Leave empty to use shipping origin,Deixe vazio para usar origem de remessa
Email,O email
Leave empty to use default,Deixe vazio para usar o padrão
Telephone,Telefone
Fax,Fax
Name,Nome
SKU,SKU
Vendor SKU,SKU do fornecedor
Price,Preço
Vendor Cost,Custo do Fornecedor
Vendor Price,Preço do fornecedor
Vendor Title,Título do fornecedor
State/Condition,Estado / Condição
Backorders,Backorders
Vendor Stock Qty,Quantidade de estoque do fornecedor
Availability State,Disponibilidade Estado
Availability Date,Data de disponibilidade
Special Price,Preço especial
Priority,Prioridade
Code,Código
Extra Charge,Custo extra
* Use Default,* Use o padrão
Estimate Carrier,Estimativa do transportador
* Use Estimate,* Usar estimativa
Carrier Override,Substituição da operadora
Default,Padrão
Manage Vendors,Gerenciar Fornecedores
Vendor Information,Informações de vendedor
Preferences,Preferências
Shipping methods,Métodos de Envio
Associated Products,Produtos Associados
Save Vendor,Salvar Fornecedor
Save and Continue Edit,Salvar e continuar Editar
Delete Vendor,Excluir fornecedor
Edit Vendor '%s,Editar Fornecedor '% s
New Vendor,Novo fornecedor
Vendor ID,ID do fornecedor
Distributor,Distribuidor
Used Carrier,Carrier usado
Shipping Profile,Perfil de Envio
Change status,Alterar status
Change Preferred Carrier,Alterar transportadora preferida
Change Shipping Profile,Alterar perfil de envio
WYSIWYG Editor,Editor WYSIWYG
Use Default,Use o padrão
Allow Extra Charge,Permitir carga extra
From Date,Da data
To Date,Até a presente data
Includes Reserved Qty,Inclui Qtd reservado
Add Adjustment,Adicionar ajuste
Add,Adicionar
Adjustment ID,ID de ajuste
PO ID,ID de pedido
PO Type,Tipo de pedido
Amount,Montante
Username,Nome de usuário
Comment,Comente
Statement Info,Informações da instrução
Statement ID,ID da instrução
Po Type,Tipo de Po
Number of Orders,Número de encomendas
Total Payout,Pagamento total
Total Paid,Total pago
Total Due,Total devido
Total Invoice,Total da fatura
Notes,Notas
Adjustment,Ajustamento
Payout ID,ID do pagamento
Payout Type,Tipo de pagamento
Payout Status,Status do pagamento
Transaction ID,ID da transação
# of Orders,Nº de Pedidos
Order ID,ID da encomenda
Refund ID,ID de reembolso
Refund Date,Data do reembolso
Subtotal,Subtotal
Com Amount,Montante Com
Tax,Imposto
Shipping,Remessa
Discount,Desconto
Total Refund,Reembolso total
PO Ready Date,Data de preparação do pedido
Trans Fee,Taxa Trans
Paid,Pago
Manage Statements,Gerenciar declarações
Statement Information,Declaração de Informações
Payouts,Pagamentos
Rows,Linhas
Refunds,Reembolsos
Adjustments,Ajustes
Delete Statement,Excluir declaração
Save and Pay,Salvar e pagar
Save and Refresh,Salvar e atualizar
Statement,Declaração
Period,Período
Total Payment,Pagamento total
Sent,Enviei
Deleting selected statement(s). Are you sure?,Excluindo instruções selecionadas. Você tem certeza?
Refresh,Atualizar
Download/Print,Download / Impressão
Send Emails,Mande emails
Emailing selected statement(s) to vendors. Are you sure?,Enviando por e-mail as declarações selecionadas aos fornecedores. Você tem certeza?
Statements Generation Criteria,Critérios de Geração de Demonstrações
Vendor Selection,Seleção de Fornecedores
All Active Vendors,Todos os fornecedores ativos
Selected Vendors,Fornecedores selecionados
Vendors,Fornecedores
Orders From Date,Ordens da data
Orders To Date,Pedidos até à data
Use Locale Timezone,Usar local fuso horário
Statement Period,Período de declaração
"If empty, will take YYMM of ""Orders From Date","Se estiver vazio, será necessário YYMM de ""Orders From Date"
Generate Statements,Gerar declarações
Generate Vendor Statements,Gerar declarações de fornecedor
Vendor Statements,Declarações do Fornecedor
Add New Vendor,Adicionar novo fornecedor
* Use PO carrier *,* Use portadora de PO *
Custom Value,Valor personalizado
Images (%s),Imagens (% s)
Media Storage,Armazenamento de mídia
Create Folder...,Criar pasta...
Delete Folder,Excluir pasta
Delete File,Excluir arquivo
Insert File,Inserir arquivo
New Folder Name:,Nome da Nova Pasta:
Are you sure you want to delete current folder?,Tem certeza de que deseja excluir a pasta atual?
Are you sure you want to delete the selected file?,Tem certeza de que deseja excluir o arquivo selecionado?
Storage Root,Raiz de Armazenamento
Invalid username or password.,Nome de usuário ou senha inválidos.
Login and password are required,Login e senha são obrigatórios
Report,Relatório
Shipment has been marked as complete,A remessa foi marcada como completa
There was a problem marking this shipment as complete: ,Ocorreu um problema ao marcar esta transferência como completa:
Invalid shipment ID supplied,ID de remessa inválido fornecido
This shipment no longer exists.,Esta transferência não existe mais.
Comment text field cannot be empty.,O campo de texto do comentário não pode ficar em branco.
Canceled shipment cannot be reverted,A remessa cancelada não pode ser revertida
%s\n\n[%s has changed the shipment status to %s],% S \ n \ n [% s alterou o status da remessa para% s]
%s\n\n[%s tried to change the shipment status to %s],% S \ n \ n [% s tentou alterar o status da remessa para% s]
Cannot add new comment.,Não é possível adicionar novo comentário.
%s notifications sent.,% S notificações enviadas.
Problems during notifications resend.,Problemas durante as notificações reenviar.
Shipping Methods,Métodos de Envio
"Only one system method could be selected when using ""* Any available"" wildcard method","Somente um método de sistema poderia ser selecionado ao usar o método curinga ""* Qualquer disponível"""
Shipping Method was successfully saved,Método de envio foi salvo com sucesso
Shipping Method was successfully deleted,Método de envio foi excluído com êxito
Please select shipping method(s),Selecione o (s) método (s) de envio
Total of %d record(s) were successfully deleted,Total de% d registro (s) foram excluídos com sucesso
Generate,Gerar
"All done, <a href=""%s"">click here</a> to be redirected to statements grid.","Tudo feito, <a href=""%s""> clique aqui </a> para ser redirecionado para a grade de declarações."
Statements,Afirmações
Statement was successfully refreshed,A declaração foi atualizada com êxito
Statement '%s' no longer exists,A instrução '% s' não existe mais
Statement was successfully saved,A declaração foi salva com êxito
Statement was successfully deleted,A instrução foi excluída com êxito
Please select statement(s),"Por favor, selecione declaração (s)"
Total of %d record(s) were successfully refreshed,Total de% d registro (s) foram atualizados com êxito
No statements found to print,Nenhuma declaração encontrada para imprimir
There was an error while download vendor statement(s): %s,Ocorreu um erro ao baixar as declarações do fornecedor:% s
Total of %d statement(s) have been sent,Total de% d declaração (s) foram enviadas
Vendor was successfully saved,O fornecedor foi salvo com êxito
This shipping methods were not saved: %s. Try to use overrides.,Estes métodos de envio não foram guardados:% s. Tente usar substituições.
Vendor was successfully deleted,O fornecedor foi eliminado com êxito
Please select vendor(s),Selecione o (s) fornecedor (es)
Total of %d record(s) were successfully updated,Total de% d registro (s) foram atualizados com sucesso
There was an error while updating vendor(s) status,Ocorreu um erro ao atualizar o status do fornecedor
There was an error while updating vendor(s) preferred carrier,Ocorreu um erro ao atualizar o (s) fornecedor (es) preferido (s)
Create and Download Labels Batch,Criar e baixar lote de etiquetas
Download Packing Slips,Download Embalagens
Your session has been expired. Please log in again.,A sua sessão expirou. Por favor faça login novamente.
Invalid confirmation link,Link de confirmação inválido
Your password has been reset.,Sua senha foi alterada.
"Thank you, password reset instructions have been sent to the email you have provided, if a vendor with such email exists.","Obrigado, as instruções de redefinição de senha foram enviadas para o e-mail fornecido, se houver um fornecedor com esse e-mail."
Invalid form data,Dados de formulário inválidos
Settings has been saved,As configurações foram salvas
No updates were made,Nenhuma atualização foi feita
%s printed label ID %s,% S ID da etiqueta impressa% s
No items are available for shipment,Não há itens disponíveis para remessa
%s added tracking ID %s,ID de rastreamento% s adicionado% s
Tracking ID has been added,O ID de acompanhamento foi adicionado
%s has changed the shipment status to %s,% S alterou o status da remessa para% s
%s tried to change the shipment status to %s,% S tentou alterar o status da remessa para% s
Shipment status has been changed,O status da remessa foi alterado
%s x [%s] %s,% S x [% s]% s
Your comment has been sent to store administrator,O teu comentário foi enviado para o administrador da loja
%s voided tracking ID %s,ID de rastreamento anulado% s% s
Track %s was voided,A faixa% s foi anulada
%s attempted to void tracking ID %s: %s,% S tentou anular o ID de rastreamento% s:% s
Problem voiding track %s: %s,Problema de anulação da faixa% s:% s
%s deleted tracking ID %s,% S ID de rastreamento excluído% s
Track %s was deleted,A faixa% s foi eliminada
Track %s was not found,A faixa% s não foi encontrada
No shipments found with supplied IDs,Nenhuma remessa encontrada com os IDs fornecidos
No shipments found for these criteria,Nenhuma remessa encontrada para esses critérios
No status selected,Nenhum status selecionado
Shipment status has been updated for the selected shipments,O status da remessa foi atualizado para os envios selecionados
You are not authorized to print this shipment,Você não está autorizado a imprimir esta remessa
%s printed packing slip,% S comprovante de embalagem impressa
Vendor specific custom text on the bottom of packing slip,Texto personalizado específico do fornecedor na parte inferior do recibo de remessa
Dropship,Dropship
General Details,Detalhes Gerais
Item Details,Detalhes do item
Dropship Labels,Etiquetas Dropship
Drop Shipping,Envio da gota
Administrator Options,Opções do administrador
Vendor Comments Receiver (store owner),Vendor Comentários Receiver (proprietário da loja)
Vendor Comments Email Subject,E-mail Assunto
Vendor Comments Template,Modelo de comentários do fornecedor
Letterhead Info,Informações sobre papel timbrado
Letterhead Logo,Logotipo do cabeçalho
Letterhead Logo Aspect Ratio,Rácio de aspecto do cabeçalho
Admin Interface Theme,Tema de interface de administrador
Subscribe for extension update notifications,Inscrever-se para notificações de atualização de extensão
Use ShipService_v12.wsdl for fedex shipping labels,Use ShipService_v12.wsdl para etiquetas de remessa Fedex
"Show vendor rates in ""Shipping & Handling Information""
 box of order view page","Mostrar taxas de fornecedor em ""Informações sobre Envio e Manuseio"" """
"Use ""select ... for update"" to check if order already split to pos"," Caixa de ordem ver página """
This option should be used when you experience problem when duplicate POs created,"Use ""select ... for update"" para verificar se a ordem já está dividida em pos"
Local Vendor,Esta opção deve ser utilizada quando ocorrer um problema quando forem criadas ordens de produção duplicadas
Make Available to Dropship on Order Status(es),Fornecedor local
Change order status after POs beeing generated,Disponibilizar para Dropship no Status do Pedido (es)
