Download Labels,Scarica Etichette
ID,Documento d'identità
Created At,Creato il
Title,Titolo
Vendor,Venditore
Label Type,Tipo etichetta
# of Shipments,# Di spedizioni
Action,Azione
Label Batches,lotti Label
Shipment #,[00:01:45] la spedizione.
Date Shipped,data di spedizione
Total Qty,*Total Qty N.ro totale
Shipping Price,Prezzo di spedizione
Status,Stato
Method,Procedimento
Order #,Ordine #
Order Date,Date dell'Ordine:
Order Status,Stato Ordine
Order Total,Totale ordine
$poStr #,$postr #
$poStr Date,$postr Data
$poStr Status,$postr Stato
$poStr Subtotal,$postr subtotale
$poStr Total Cost,Costo $postr totale
$poStr Tax Amount,$postr Importo Tax
$poStr Shipping Price,Prezzo $postr Spedizione
$poStr Total Qty,$postr Qtà Totale
Tracking #,Monitoraggio
Tracking Total,Monitoraggio totale
Tax State,State Tax
Order coupon codes,codici promozionali ordine
CSV,CSV
XML,XML
Dropship ,dropship 
PO #,P.O. #
PO Date,PO Data
PO Status,PO Stato
PO Shipping Price,PO Spedizione Prezzo
PO Item SKU,PO articolo SKU
PO Item Name,PO Nome dell'articolo
PO Item Price,PO Articolo Prezzo
PO Item Discount,PO Sconto Item
PO Item Cost,PO costo articolo
PO Item Qty,Quantità PO Item
PO Item Tax,PO fiscale Item
PO Item Row Total,PO Articolo totale riga
Dropship Item Details Report,Dropship Voce dettagli Segnala
Ship to Name,Spedire al nome
Ship to First name,Ship to Nome
Ship to Last name,Ship to Cognome
Statement Ready At,Dichiarazione di Ready At
View,Vista
Resend PO Notifications,Invia di nuovo PO Notifiche
Mark as shipped,Segna come spedito
Shipping Info,Dati di spedizione
Shipping Method Code,Codice Metodo di Spedizione
Shipping Method Title,Metodo di Spedizione Titolo
Days In Transit,Days In Transit
Websites,Siti web
Associated System Methods,Metodi sistema associato
* Not used,* Non usato
* Any available,* Qualsiasi disponibili
Titles,Titoli
Default Title,Titolo di default
Default Title for All Store Views,Titolo predefinito per tutti Store Viste
Store View Specific Title,Conservare View Titolo specifico
Manage Shipping,gestire spedizione
Shipping Information,Informazioni Spedizione
Save Shipping Method,Salva Metodo di Spedizione
Delete Shipping Method,Eliminare Metodo di Spedizione
Edit Method '%s,Modifica metodo '%s
New Method,Nuovo metodo
All websites,tutti i siti web
Method Code,Codice metodo
Method Title,metodo Titolo
Website,Sito Web
System Methods,Metodi di sistema
Delete,Elimina
Are you sure?,Sei sicuro?
Manage Shipping Methods,Gestione Metodi di spedizione
Add New Shipping Method,Aggiungi metodo nuovo di trasporto
Select Category,Seleziona categoria
Add Carrier,Aggiungi vettore
Custom Vendor Information,Informazioni Venditore personalizzato
Custom Data,Custom Data
"
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
","Inserisci dati personalizzati per questo fornitore. <br/>
Ogni parte deve iniziare con: <br/>
<Pre> ===== ===== part_name </ pre> <br/>
Le parti possono essere referenziati da modello di prodotto in questo modo:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
"
Vendor Info,Informazioni venditore
Vendor Name,Nome del fornitore
Membership Profile,L'adesione Profilo
* Please select,Per favore Selezionare ...
Membership,Iscrizione
Allow Microsite,Consenti microsito
Limit Products,Limita i prodotti
Billing Type,Tipo di fatturazione
DO NOT Automatically synchronize status with profile,NON Sincronizzare automaticamente lo status a profilo
Reject Reason,Rifiuta Motivo
Send Reject Email,Invia Email Rifiutare
Resend Confirmation Email,Reinvia email di conferma
