Download Labels,Etiketten herunterladen
ID,Identifikation
Created At,Erstellt am
Title,Titel
Vendor,Kunde
Label Type,Etikettentyp
# of Shipments,Anzahl der Sendungen
Action,Aktion 
Label Batches,Etikettenchargen
Shipment #,Sendung #
Date Shipped,Datum versendet
Total Qty,Totalmenge
Shipping Price,Versandkosten
Status,Zustand
Method,Methode 
Order #,Bestellungs-Nr.
Order Date,Auftragsdatum
Order Status,Bestellstatus
Order Total,Gesamtsumme
$poStr #,$poStr #
$poStr Date,$poStr Datum
$poStr Status,$poStr Status
$poStr Subtotal,$poStr Zwischensumme
$poStr Total Cost,$poStr Gesamtkosten
$poStr Tax Amount,$poStr Steuerbetrag
$poStr Shipping Price,$poStr Versandpreis
$poStr Total Qty,$poStr Gesamtanzahl
Tracking #,Tracking
Tracking Total,Tracking Total
Tax State,Steuerstaat
Order coupon codes,Gutscheincodes bestellen
CSV,CSV
XML,XML
Dropship ,dropship lieferant 
PO #,Pocitelj
PO Date,PO Datum
PO Status,PO Status
PO Shipping Price,PO Versandpreis
PO Item SKU,PO Artikel SKU
PO Item Name,PO Artikelname
PO Item Price,PO Artikel Preis
PO Item Discount,PO Artikel Rabatt
PO Item Cost,PO Artikelkosten
PO Item Qty,PO Artikel Menge
PO Item Tax,PO Artikelsteuer
PO Item Row Total,PO Item Row Total
Dropship Item Details Report,Dropship Artikeldetails Bericht
Ship to Name,Schiff zum Namen
Ship to First name,Versand nach Vorname
Ship to Last name,Versand nach Nachname
Statement Ready At,Aussage bereit bei
View,Ansehen
Resend PO Notifications,Wareneingaben erneut senden
Mark as shipped,Als geliefert markiert
Shipping Info,Versandinformation
Shipping Method Code,Versandmethode Code
Shipping Method Title,Versandverfahren Titel
Days In Transit,Tage im Transit
Websites,Webseiten
Associated System Methods,Zugehörige Systemmethoden
* Not used,Nicht verwendet
* Any available,* Verfügbar
Titles,Titel
Default Title,Standard-Titel
Default Title for All Store Views,Standard-Titel für alle Speicheransichten
Store View Specific Title,Spezielle Titel speichern
Manage Shipping,Versand
Shipping Information,Lieferinformationen
Save Shipping Method,Sparen Sie Versandmethode
Delete Shipping Method,Löschen Sie die Versandmethode
Edit Method '%s,Bearbeitungsmethode '%s
New Method,Neue Methode
All websites,auf allen Websites erscheint
Method Code,Methodencode
Method Title,Methode Titel
Website,Webseite
System Methods,Systemmethoden
Delete,Löschen
Are you sure?,Sind Sie sicher?
Manage Shipping Methods,Versandmethoden verwalten
Add New Shipping Method,Neue Versandmethode hinzufügen
Select Category,Kategorie auswählen
Add Carrier,Fügen Sie Träger hinzu
Custom Vendor Information,Benutzerdefinierte Lieferanteninformationen
Custom Data,Kundendaten
"
Enter custom data for this vendor.<br/>
Each part should start with:<br/>
<pre>===== part_name =====</pre><br/>
Parts can be referenced from product template like this:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
","Geben Sie benutzerdefinierte Daten für diesen Lieferanten ein. <br/>
Jeder Teil sollte mit: <br/> beginnen
<Pre> ===== part_name ===== </ pre> <br/>
Teile können von der Produktvorlage wie folgt referenziert werden:
<xmp>
<?php echo Mage::helper('udropship')
  ->getVendor(\$_product)
    ->getData('part_name')?>
</xmp>
"
Vendor Info,Vendor Info
Vendor Name,Herstellername
Membership Profile,Mitgliedschaft Profil
* Please select,--Bitte auswählen--
Membership,Mitgliedschaft
Allow Microsite,Microsite zulassen
Limit Products,Produkte einschränken
Billing Type,Abrechnungstyp
DO NOT Automatically synchronize status with profile,NICHT Automatisch synchronisieren Status mit Profil
Reject Reason,Ablehnung der Vernunft
Send Reject Email,Senden Sie E-Mail senden
Resend Confirmation Email,Bestätigungsmail erneut senden
Send Confirmation Email,Bestätigungsemail senden:
Resending confirmation email will reset password (revoke old one). New password will be sent to vendor in separate email once he click at the link in this confirmation email.,"Die Bestätigungs-E-Mail erneut senden wird das Passwort zurücksetzen (alte widerrufen). Neues Passwort wird an den Verkäufer in separater E-Mail gesendet werden, sobald er auf den Link in dieser Bestätigungs-E-Mail klicken."
Send Confirmation Email. Password will be sent to vendor in separate email once he click at the link in this confirmation email.,"Bestätigungsemail senden: Passwort wird an den Verkäufer in separater E-Mail gesendet werden, sobald er auf den Link in dieser Bestätigungs-E-Mail klicken."
Waiting for email confirmation,Warten auf E-Mail-Bestätigung
No,Nein
Yes,Ja
Preferred Carrier,Bevorzugter Träger
Use Rates Fallback Chain,Verwenden Sie Rate Fallback Chain
Will try to find available estimate rate for dropship shipping methods in order <br>1. Estimate Carrier <br>2. Override Carrier <br>3. Default Carrier,"Versuche, verfügbare Schätzrate für dropship Versandmethoden zu finden, um 1 zu finden. Schätzung des Trägers <br> 2. Override Carrier <br> 3. Default Carrier"
Vendor Email,Vendor Email
Email is also used as username,E-Mail wird auch als Benutzername verwendet
New Password,Neues Passwort
Leave empty for no change,Leer lassen für keine Änderung
Log In Password,Login/Passwort
Login disabled if empty,"Login deaktiviert, wenn leer"
Vendor Telephone,Verkäufer Telefon
Phone number is required for FedEx label printing,Für den FedEx-Etikettendruck ist eine Telefonnummer erforderlich
Vendor Fax,Vendor Fax
Use Default Configuration,Verwenden Sie die Standardkonfiguration
Notification Template,Benachrichtigungsvorlage
Allow shipping extra charge,Erlauben Sie den Versand Zuschlag
Default shipping extra charge suffix,Standard-Versand-Extra-Suffix
Default shipping extra charge type,Standard-Versand-Aufpreis-Typ
Default shipping extra charge,Standard-Versand Zuschlag
Is extra charge shipping default,Ist ein Aufpreis Versand Standard
URL friendly identifier,URL-freundliche Kennung
Please select state...,Bitte wählen Sie den Kanton
Shipping Origin Address,Versand Herkunft Adresse
Attention To,Aufmerksamkeit auf
Street,Straße 
City,Stadt
Zip / Postal code,PLZ/Postleitzahl
Country,Land 
Please select Country,Bitte wählen Sie Land
State,Bundesland
Please select State,Bitte wählen Sie den Kanton
Billing Address,Rechnungsadresse 
Same as Shipping,Gleich wie Versand
Leave empty to use shipping origin,"Leer lassen, um Schiffsursprung zu verwenden"
Email,E-Mail
Leave empty to use default,"Leer lassen, um die Standardeinstellung zu verwenden"
Telephone,Telephon
Fax,Per Fax
Name,Name DE 
SKU,Artikel-Nr.
Vendor SKU,Lieferant SKU
Price,Preis 
Vendor Cost,Lieferantenkosten
Vendor Price,Vendor Preis
Vendor Title,Vendor Titel
State/Condition,Zustand / Zustand
Backorders,Backorders
Vendor Stock Qty,Vendor Stock Menge
Availability State,Verfügbarkeit
Availability Date,Verfügbarkeitsdatum
Special Price,Sonderpreis
Priority,Priorität
Code,Code 
Extra Charge,Aufpreis
* Use Default,Standard verwenden
Estimate Carrier,Schätzung Träger
* Use Estimate,* Schätzung verwenden
Carrier Override,Carrier Override
Default,Standard
Manage Vendors,Verwalten von Anbietern
Vendor Information,Lieferanteninformationen
Preferences,Einstellungen
Shipping methods,Versandarten
Associated Products,Zugehörende Produkte
Save Vendor,Sparen Sie Verkäufer
Save and Continue Edit,Speichern und weiterbearbeiten
Delete Vendor,Verkäufer löschen
Edit Vendor '%s,Vendor '%s bearbeiten
New Vendor,Neuer Verkäufer
Vendor ID,Hersteller-ID
Distributor,Direktvertriebsfirma
Used Carrier,Gebrauchtwagen
Shipping Profile,Versandprofil
Change status,Status ändern
Change Preferred Carrier,Bevorzugter Träger wechseln
Change Shipping Profile,Änderungsprofil ändern
WYSIWYG Editor,WYSIWYG-Editor
Use Default,Standard verwenden
Allow Extra Charge,Erlauben Sie Extragebühr
From Date,Von
To Date,Bis
Includes Reserved Qty,Inklusive reservierter Anzahl
Add Adjustment,Anpassung hinzufügen
Add,Hinzufügen
Adjustment ID,Anpassungs-ID
PO ID,PO ID
PO Type,PO-Typ
Amount,Betrag
Username,Benutzername
Comment,Kommentar 
Statement Info,Statement Info
Statement ID,Statement ID
Po Type,Po-Typ
Number of Orders,Anzahl der Bestellungen:
Total Payout,Gesamtauszahlung
Total Paid,Gesamt bezahlt
Total Due,Summe fällig
Total Invoice,Gesamtrechnung
Notes,Notizen
Adjustment,Anpassung
Payout ID,Auszahlungs-ID
Payout Type,Auszahlungsart
Payout Status,Auszahlungsstatus
Transaction ID,Transaktions-ID
# of Orders,# der Bestellungen
Order ID,Bestellnummer
Refund ID,Rückerstattung ID
Refund Date,Datum der Rückzahlung
Subtotal,Zwischensumme
Com Amount,Com-Betrag
Tax,Steuer
Shipping,Versand 
Discount,Rabatt 
Total Refund,Gesamterstattung
PO Ready Date,PO Fertig Datum
Trans Fee,Trans Fee
Paid,Bezahlt
Manage Statements,Verwalten von Anweisungen
Statement Information,Anweisungsinformationen
Payouts,Auszahlungen
Rows,Zeilen
Refunds,Rückerstattungen
Adjustments,Anpassungen
Delete Statement,Erläuterung löschen
Save and Pay,Sparen und bezahlen
Save and Refresh,Speichern und aktualisieren
Statement,Erklärung
Period,Periode
Total Payment,Gesamtzahlung
Sent,Gesendet
Deleting selected statement(s). Are you sure?,Ausgewählte Anweisung löschen Sind Sie sicher?
Refresh,Erneuern
Download/Print,Herunterladen / Drucken
Send Emails,E-Mails senden
Emailing selected statement(s) to vendors. Are you sure?,E-Mail an ausgewählte Aussagen an Lieferanten. Sind Sie sicher?
Statements Generation Criteria,Aussagen Erzeugungskriterien
Vendor Selection,Händlerwahl
All Active Vendors,Alle aktiven Verkäufer
Selected Vendors,Ausgewählte Verkäufer
Vendors,Lieferanten
Orders From Date,Aufträge ab dem Datum
Orders To Date,Aufträge bis Datum
Use Locale Timezone,Gebietsschema Zeitzone verwenden
Statement Period,Statement Zeitraum
"If empty, will take YYMM of ""Orders From Date","Wenn leer, wird YYMM von ""Orders From Date"" nehmen"
Generate Statements,Generationen generieren
Generate Vendor Statements,Kreditorenauszüge generieren
Vendor Statements,Lieferantenerklärungen
Add New Vendor,Neuen Lieferanten hinzufügen
* Use PO carrier *,* Verwenden Sie PO-Träger *
Custom Value,Benutzerdefinierten Wert
Images (%s),Bilder (%s)
Media Storage,Medienspeicher
Create Folder...,Ordner Erstellen
Delete Folder,Ordner löschen
Delete File,Datei löschen
Insert File,Datei einfügen
New Folder Name:,Neuer Ordnername
Are you sure you want to delete current folder?,"Sind Sie sicher, dass Sie den aktuellen Ordner löschen möchten?"
Are you sure you want to delete the selected file?,Wollen Sie die ausgewählten Marker wirklich löschen?
Storage Root,Speicherwurzel
Invalid username or password.,Ungültiger Benutzername oder ungültiges Passwort.
Login and password are required,Login und Passwort sind erforderlich
Report,Bericht
Shipment has been marked as complete,Der Versand wurde als vollständig markiert
There was a problem marking this shipment as complete: ,"Es gab ein Problem, das diese Sendung als vollständig markiert: "
Invalid shipment ID supplied,Ungültige Versand-ID geliefert
This shipment no longer exists.,Diese Sendung existiert nicht mehr.
Comment text field cannot be empty.,Kommentartextfeld kann nicht leer sein.
Canceled shipment cannot be reverted,Abgebrochener Versand kann nicht zurückgesetzt werden
%s\n\n[%s has changed the shipment status to %s],%S \ n \ n [%s hat den Sendungsstatus auf%s geändert]
%s\n\n[%s tried to change the shipment status to %s],"%S \ n \ n [%s versucht, den Sendungsstatus auf%s zu ändern]"
Cannot add new comment.,Kann keinen neuen Kommentar hinzufügen.
%s notifications sent.,%S Benachrichtigungen gesendet.
Problems during notifications resend.,Probleme bei Benachrichtigungen werden erneut gesendet.
Shipping Methods,Versandarten
"Only one system method could be selected when using ""* Any available"" wildcard method","Bei Verwendung von ""* Any available"" Wildcard-Methode konnte nur eine Systemmethode ausgewählt werden"
Shipping Method was successfully saved,Versandmethode wurde erfolgreich gespeichert
Shipping Method was successfully deleted,Versandmethode wurde erfolgreich gelöscht
Please select shipping method(s),Bitte wählen Sie die Versandart (en)
Total of %d record(s) were successfully deleted,Insgesamt {0}%d{/0} Eintragung(en) wurden erfolgreich gelöscht
Generate,Generieren
"All done, <a href=""%s"">click here</a> to be redirected to statements grid.","Alles getan, <a href=""%s""> klicken Sie hier </a>, um auf Anweisungsraster umgeleitet zu werden."
Statements,Anweisungen
Statement was successfully refreshed,Die Aussage wurde erfolgreich aktualisiert
Statement '%s' no longer exists,Anweisung '%s' existiert nicht mehr
Statement was successfully saved,Die Anweisung wurde erfolgreich gespeichert
Statement was successfully deleted,Anweisung wurde erfolgreich gelöscht
Please select statement(s),Bitte auswählen (s)
Total of %d record(s) were successfully refreshed,Summe%d Aufzeichnung (en) wurden erfolgreich aufgefrischt
No statements found to print,Keine Aussagen gefunden zu drucken
There was an error while download vendor statement(s): %s,Es gab einen Fehler beim Download der Lieferantenerklärung (en):%s
Total of %d statement(s) have been sent,Summe%d Aussage wurden gesendet
Vendor was successfully saved,Der Verkäufer wurde erfolgreich gespeichert
