Notifications,Notification,module,Magento_AdminNotification
Message,MÈssage,module,Magento_AdminNotification
Actions,actions,module,Magento_AdminNotification
ID,Identifiant,module,Magento_AdvancedCheckout
The SKU was not found in the catalog.,Le SKU n'a pas ÈtÈ trouvÈ dans le catalogue.,module,Magento_AdvancedCheckout
Action,action,module,Magento_AdvancedCheckout
Enable Search Recommendations,Activer les recommandations de recherche,module,Magento_AdvancedSearch
ID,Identifiant,module,Magento_AdvancedSearch
Action,action,module,Magento_AdvancedSearch
Subscription status,…tat de l'abonnement,module,Magento_Analytics
"Sorry, there has been an error processing your request. Please try again later.","DÈsolÈ, une erreur s'est produite lors du traitement de votre demande. Veuillez rÈessayer plus tard.",module,Magento_Analytics
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","DÈsolÈ, une erreur s'est produite lors du traitement de votre demande d'inscription ‡ Magento Analytics. RÈessayez plus tard.",module,Magento_Analytics
Error occurred during postponement notification,Une erreur s'est produite lors de la notification de report,module,Magento_Analytics
Command was not found.,La commande n'a pas ÈtÈ trouvÈe.,module,Magento_Analytics
There was an error save new configuration value.,Une erreur s'est produite lors de la sauvegarde de la nouvelle valeur de configuration.,module,Magento_Analytics
Please select a vertical.,SÈlectionnez une verticale.,module,Magento_Analytics
--Please Select--,--SvP Choisir--,module,Magento_Analytics
Cannot find predefined integration user!,Impossible de trouver un utilisateur d'intÈgration prÈdÈfini!,module,Magento_Analytics
TestMessage,315 = Message de test,module,Magento_Analytics
Error message,Message d'erreur,module,Magento_Analytics
Apps and Games,Applications et jeux,module,Magento_Analytics
Athletic/Sporting Goods,Articles sportifs / sportifs,module,Magento_Analytics
Art and Design,Art et dÈsign,module,Magento_Analytics
Free Tier,Niveau gratuit,module,Magento_Analytics
An error occurred while subscription process.,Une erreur s'est produite pendant le processus d'abonnement.,module,Magento_Analytics
Analytics,Analyse,module,Magento_Analytics
API,API ,module,Magento_Analytics
Configuration,Configuration ,module,Magento_Analytics
BI Essential,BI Essential,module,Magento_Analytics
Basic Tier,Niveau de base,module,Magento_Analytics
BI Essentials,BI Essentials,module,Magento_Analytics
General,GÈnÈral,module,Magento_Analytics
Send the system and transaction data to Magento Analytics service,Envoyer le systËme et les donnÈes de transaction au service Magento Analytics,module,Magento_Analytics
Vertical,Verticale,module,Magento_Analytics
Analytics Subscription,Abonnement aux analyses,module,Magento_Analytics
Subscription Confirmation,Confirmation d'abonnement,module,Magento_Analytics
Cancel,Annuler,module,Magento_Analytics
Ok,D'accord,module,Magento_Analytics
