Download Labels,Descargar etiquetas
ID,CARNÉ DE IDENTIDAD
Created At,Creado en
Title,Título
Vendor,Proveedor
Label Type,Etiqueta de Tipo:
# of Shipments,# De envíos
Action,Acción
Label Batches,Lotes de etiquetas
Shipment #,embarque
Date Shipped,Fecha de envió 
Total Qty,"""Total Qty"" Cantidad Total"
Shipping Price,Precio de envío
Status,Estado
Method,Metodología
Order #,Pedido #
Order Date,Fecha de Orden
Order Status,Estado del pedido
Order Total,Total del pedido
$poStr #,$poStr #
$poStr Date,$poStr Fecha
$poStr Status,$poStr Estado
$poStr Subtotal,$poStr Subtotal
$poStr Total Cost,$poStr Costo total
$poStr Tax Amount,$poStr Impuestos
$poStr Shipping Price,$poStr Precio de envío
$poStr Total Qty,$poStr Cantidad total
Tracking #,N º de Seguimiento
Tracking Total,Seguimiento total
Tax State,Estado tributario
Order coupon codes,Códigos de cupones de pedidos
CSV,CSV
XML,XML
Dropship ,#NAME?
PO #,Po ~
PO Date,PO Fecha
PO Status,Estado del pedido
PO Shipping Price,Precio de envío de PO
PO Item SKU,Artículo SK SKU
PO Item Name,Nombre del artículo PO
PO Item Price,PO Artículo Precio
PO Item Discount,Descuento de artículo de PO
PO Item Cost,Costo del artículo PO
PO Item Qty,Cantidad de artículos de pedido
PO Item Tax,Impuesto de objeto PO
PO Item Row Total,PO Item Row Total
Dropship Item Details Report,Informe de detalles del artículo de Dropship
Ship to Name,Enviar a nombre
Ship to First name,Enviar a nombre
Ship to Last name,Enviar al apellido
Statement Ready At,Declaración lista en
View,Ver
Resend PO Notifications,Reenviar notificaciones de pedido
Mark as shipped,Marcar como enviado
Shipping Info,Info Envios
Shipping Method Code,Código del método de envío
Shipping Method Title,Método de envío Título
Days In Transit,Días en tránsito
Websites,Sitios Web
Associated System Methods,Métodos del sistema asociado
* Not used,No utilizado
* Any available,* Cualquier disponible
Titles,Títulos
Default Title,Título predeterminado
Default Title for All Store Views,Título predeterminado para todas las vistas de tienda
Store View Specific Title,Ver título específico de la tienda
Manage Shipping,Admin Envios
Shipping Information,Información de envío
Save Shipping Method,Guardar método de envío
