Display a Link to Loading a Spreadsheet,Zeigen Sie einen Link zum Laden einer Tabellenkalkulation an,module,Magento_AdvancedCheckout
button_label,Button_label,module,Magento_AdvancedSearch
Store,Geschäft,module,Magento_AdvancedSearch
Uses,Verwendet,module,Magento_AdvancedSearch
Error occurred during postponement notification,Bei der Verschiebungsbenachrichtigung ist ein Fehler aufgetreten,module,Magento_Analytics
Please select a vertical.,Bitte wählen Sie eine Vertikale.,module,Magento_Analytics
Cannot find predefined integration user!,Kann nicht vordefinierten Integrationsbenutzer finden!,module,Magento_Analytics
Athletic/Sporting Goods,Athletic / Sporting Waren,module,Magento_Analytics
Free Tier,Freies Tier,module,Magento_Analytics
API,API,module,Magento_Analytics
BI Essential,BI Wesentlich,module,Magento_Analytics
Basic Tier,Grundstufe,module,Magento_Analytics
BI Essentials,BI Essentials,module,Magento_Analytics
Send the system and transaction data to Magento Analytics service,Senden Sie die System- und Transaktionsdaten an den Magento Analytics-Dienst,module,Magento_Analytics
Vertical,Vertikal,module,Magento_Analytics
Analytics Subscription,Analytics Abonnement,module,Magento_Analytics
I agree with sending my system configuration and transaction data to Magento Analytics.,"Ich bin damit einverstanden, meine Systemkonfiguration und Transaktionsdaten an Magento Analytics zu senden.",module,Magento_Analytics
Back,Zurück,module,Magento_AsynchronousOperations
Done,Erledigt,module,Magento_AsynchronousOperations
Retry,Wiederholen,module,Magento_AsynchronousOperations
'Action Details - #' .,'Aktionsdetails - #'.,module,Magento_AsynchronousOperations
"%1 item(s) have been scheduled for update.""","% 1 Artikel wurde für die Aktualisierung geplant. """,module,Magento_AsynchronousOperations
Bulk Actions Log,Bulk Actions Log,module,Magento_AsynchronousOperations
%1 item(s) are currently being updated.,% 1 Artikel werden derzeit aktualisiert.,module,Magento_AsynchronousOperations
"Task ""%1"":","Aufgabe 1"":",module,Magento_AsynchronousOperations
%1 item(s) have been scheduled for update.,% 1 Artikel wurde für die Aktualisierung geplant.,module,Magento_AsynchronousOperations
%1 item(s) have been successfully updated.,% 1 Artikel wurde erfolgreich aktualisiert.,module,Magento_AsynchronousOperations
%1 item(s) failed to update,% 1 Artikel konnte nicht aktualisiert werden,module,Magento_AsynchronousOperations
Details,Details,module,Magento_AsynchronousOperations
View Details,Details anzeigen,module,Magento_AsynchronousOperations
Dismiss,Entlassen,module,Magento_AsynchronousOperations
"Pending, in queue...","Ausstehend, in der Warteschlange ...",module,Magento_AsynchronousOperations
%1 items selected for mass update,% 1 Artikel ausgewählt für Massenaktualisierung,module,Magento_AsynchronousOperations
", %1 successfully updated",",% 1 erfolgreich aktualisiert",module,Magento_AsynchronousOperations
", %1 failed to update",",% 1 konnte nicht aktualisiert werden",module,Magento_AsynchronousOperations
Something went wrong.,Etwas ist schief gelaufen.,module,Magento_AsynchronousOperations
Action Log,Aktionsprotokoll,module,Magento_AsynchronousOperations
Bulk Actions,Bulk-Aktionen,module,Magento_AsynchronousOperations
Days Saved in Log,Tage im Protokoll gespeichert,module,Magento_AsynchronousOperations
Description of Operation,Funktionsbeschreibung,module,Magento_AsynchronousOperations
Summary,Zusammenfassung,module,Magento_AsynchronousOperations
Start Time,Startzeit,module,Magento_AsynchronousOperations
Items to Retry,Gegenstände zum Wiederholen,module,Magento_AsynchronousOperations
"To retry, select the items and click â€œRetryâ€.","Um zu versuchen, wählen Sie die Elemente und klicken Sie auf â € œRetryâ €?",module,Magento_AsynchronousOperations
Items That Canâ€™t Be Updated.,"Gegenstände, die nicht aktualisiert werden können.",module,Magento_AsynchronousOperations
ID,ICH WÜRDE,module,Magento_AsynchronousOperations
Status,Status,module,Magento_AsynchronousOperations
Action,Aktion,module,Magento_AsynchronousOperations
Meta Information,Meta-Informationen,module,Magento_AsynchronousOperations
Error,Fehler,module,Magento_AsynchronousOperations
Dismiss All Completed Tasks,Alle abgeschlossenen Aufgaben abweisen,module,Magento_AsynchronousOperations
Action Details - #,Action Details - #,module,Magento_AsynchronousOperations
Number of Records Affected,Anzahl der betroffenen Aufzeichnungen,module,Magento_AsynchronousOperations
An error occurred on the server. Please try to place the order again.,Auf dem Server ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut zu bestellen.,module,Magento_Authorizenet
Please Select,Bitte auswählen,module,Magento_Authorizenet
"Sorry, but something went wrong. Please contact the seller.","Tut mir leid, aber etwas ist schief gelaufen Bitte kontaktieren Sie den Verkäufer.",module,Magento_Authorizenet
Gateway URL,Gateway-URL,module,Magento_Authorizenet
Debug,Debuggen,module,Magento_Authorizenet
Store,Geschäft,module,Magento_Backend
Name,Name,module,Magento_Backend
Code,Code,module,Magento_Backend
Status,Status,module,Magento_Backend
Export,Export,module,Magento_Backend
System,System,module,Magento_Backend
YTD,Jahresverlauf,module,Magento_Backend
2YTD,2YTD,module,Magento_Backend
Magento,Magento,module,Magento_Backend
Magento Admin Panel,Magento Admin Panel,module,Magento_Backend
WK,WK,module,Magento_Backend
Minute,Minute,module,Magento_Backend
JavaScript/CSS,JavaScript / CSS,module,Magento_Backend
We could not detect a size.,Wir konnten keine Größe erkennen.,module,Magento_Backend
We don't recognize or support this file extension type.,Wir erkennen oder unterstützen diesen Dateierweiterungstyp nicht.,module,Magento_Backend
Magento Admin,Magento Admin,module,Magento_Backend
Marketing,Marketing,module,Magento_Backend
Design,Entwurf,module,Magento_Backend
Magento Connect,Magento Connect,module,Magento_Backend
Connect Manager,Connect Manager,module,Magento_Backend
Package Extensions,Paket-Erweiterungen,module,Magento_Backend
Tools,Werkzeuge,module,Magento_Backend
Debug,Debuggen,module,Magento_Backend
Host,Gastgeber,module,Magento_Backend
Port (25),Hafen (25),module,Magento_Backend
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-Mail-Vorlage ausgewählt auf Thema Fallback, wenn ""Standard"" -Option ausgewählt ist.",module,Magento_Backend
Admin Base URL,Admin-Basis-URL,module,Magento_Backend
Web,Web,module,Magento_Backend
Magento_Ui/js/dynamic-rows/record,Magento_Ui / js / dynamic-rows / record,module,Magento_Backend
System,System,module,Magento_Backup
FTP,FTP,module,Magento_Backup
Name,Name,module,Magento_Backup
Status,Status,module,Magento_Banner
Banner,Banner,module,Magento_Banner
Displays Specified or Promotion Banners,Zeigt spezifizierte oder Werbebanner an,module,Magento_Banner
Shopping Cart Promotions Related,Einkaufswagen Promotions Related,module,Magento_Banner
Catalog Promotions Related,Katalog Promotions Related,module,Magento_Banner
"One at the time, Random","Einer zu der Zeit, zufällig",module,Magento_Banner
"One at the time, Series","Einer zu der Zeit, Serie",module,Magento_Banner
"One at the time, Shuffle","Einer zu der Zeit, Shuffle",module,Magento_Banner
Banner Block Template,Bannerblockvorlage,module,Magento_Banner
Banner Inline Template,Banner Inline-Vorlage,module,Magento_Banner
Payment method nonce can't be retrieved.,Zahlungsmethode nonce kann nicht abgerufen werden.,module,Magento_Braintree
PayPal Account,Paypal-Konto,module,Magento_Braintree
PayPal Logo,PayPal Logo,module,Magento_Braintree
MM,MM,module,Magento_Braintree
YY,Ja,module,Magento_Braintree
"Sorry, but something went wrong.","Tut mir leid, aber etwas ist schief gelaufen",module,Magento_Braintree
Payment,Zahlung,module,Magento_Braintree
Braintree,Braintree,module,Magento_Braintree
Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.,"Akzeptieren Sie Kredit- / Debitkarten und PayPal in Ihrem Magento-Shop. <br/> Kein Setup oder monatliche Gebühren und Ihre Kunden verlassen nie Ihr Geschäft, um den Kauf abzuschließen.",module,Magento_Braintree
Enable this Solution,Aktiviere diese Lösung,module,Magento_Braintree
Enable PayPal through Braintree,Aktiviere PayPal durch Braintree,module,Magento_Braintree
Vault Enabled,Vault aktiviert,module,Magento_Braintree
Basic Braintree Settings,Grundlegende Braintree Einstellungen,module,Magento_Braintree
Vault Title,Gewölbe-Titel,module,Magento_Braintree
Advanced Fraud Protection,Advanced Fraud Protection,module,Magento_Braintree
Kount Merchant ID,Kount Merchant ID,module,Magento_Braintree
Debug,Debuggen,module,Magento_Braintree
CVV Verification,CVV Verifizierung,module,Magento_Braintree
PayPal through Braintree,PayPal über Braintree,module,Magento_Braintree
Override Merchant Name,Override Merchant Name,module,Magento_Braintree
Require Customer's Billing Address,Die Rechnungsadresse des Kunden verlangen,module,Magento_Braintree
Allow to Edit Shipping Address Entered During Checkout on PayPal Side,"Erlauben Sie, die Versandadresse zu bearbeiten, die während der Kasse auf PayPal-Seite eingegeben wurde",module,Magento_Braintree
Display on Shopping Cart,Anzeige auf Warenkorb,module,Magento_Braintree
Skip Order Review,Artikel überspringen,module,Magento_Braintree
3D Secure Verification Settings,3D Secure Verification Einstellungen,module,Magento_Braintree
3D Secure Verification,3D Secure Verification,module,Magento_Braintree
Threshold Amount,Schwellenbetrag,module,Magento_Braintree
Verify for Applicable Countries,Überprüfen Sie für gültige Länder,module,Magento_Braintree
Verify for Specific Countries,Überprüfen Sie für bestimmte Länder,module,Magento_Braintree
Dynamic Descriptors,Dynamische Deskriptoren,module,Magento_Braintree
Name,Name,module,Magento_Braintree
Phone,Telefon,module,Magento_Braintree
URL,URL,module,Magento_Braintree
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Filter anwenden, um Ergebnisse zu erhalten. Nur die ersten 100 Datensätze werden im Raster angezeigt, du kannst die Vollversion des Berichts im .csv-Format herunterladen.",module,Magento_Braintree
Select...,Wählen...,module,Magento_Braintree
Status,Status,module,Magento_Braintree
Transaction Type,Art der Transaktion,module,Magento_Braintree
PayPal Payment ID,PayPal Zahlungs-ID,module,Magento_Braintree
Transaction ID,Transaktions-ID,module,Magento_Braintree
Order ID,Auftragsnummer,module,Magento_Braintree
Amount,Menge,module,Magento_Braintree
Refund Ids,Rückerstattung Ids,module,Magento_Braintree
Braintree Settlement Report,Braintree Abrechnungsbericht,module,Magento_BraintreeTwo
Braintree error response.,Braintree Fehlerreaktion.,module,Magento_BraintreeTwo
Apple pay card,Apple Pay Card,module,Magento_BraintreeTwo
Android pay card,Android Pay Card,module,Magento_BraintreeTwo
Authorization expired,Autorisierung abgelaufen,module,Magento_BraintreeTwo
Authorizing,Genehmigung,module,Magento_BraintreeTwo
Authorized,Autorisiert,module,Magento_BraintreeTwo
Gateway rejected,Gateway abgelehnt,module,Magento_BraintreeTwo
Failed,Gescheitert,module,Magento_BraintreeTwo
Processor declined,Prozessor abgelehnt,module,Magento_BraintreeTwo
Settled,Abgerechnet,module,Magento_BraintreeTwo
Settling,Absetzen,module,Magento_BraintreeTwo
Submitted for settlement,Für die Abrechnung eingereicht,module,Magento_BraintreeTwo
Voided,Leer,module,Magento_BraintreeTwo
Unrecognized,Unerkannt,module,Magento_BraintreeTwo
Settlement declined,Abrechnung abgelehnt,module,Magento_BraintreeTwo
