"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet",module,Magento_AdvancedCheckout
button_label,button_label,module,Magento_AdvancedSearch
Store,Store,module,Magento_AdvancedSearch
Uses,Uses,module,Magento_AdvancedSearch
"Error occurred during postponement notification","Error occurred during postponement notification",module,Magento_Analytics
"Please select a vertical.","Please select a vertical.",module,Magento_Analytics
"Cannot find predefined integration user!","Cannot find predefined integration user!",module,Magento_Analytics
"Athletic/Sporting Goods","Athletic/Sporting Goods",module,Magento_Analytics
"Free Tier","Free Tier",module,Magento_Analytics
API,API,module,Magento_Analytics
"BI Essential","BI Essential",module,Magento_Analytics
"Basic Tier","Basic Tier",module,Magento_Analytics
"BI Essentials","BI Essentials",module,Magento_Analytics
"Send the system and transaction data to Magento Analytics service","Send the system and transaction data to Magento Analytics service",module,Magento_Analytics
Vertical,Vertical,module,Magento_Analytics
"Analytics Subscription","Analytics Subscription",module,Magento_Analytics
"I agree with sending my system configuration and transaction data to Magento Analytics.","I agree with sending my system configuration and transaction data to Magento Analytics.",module,Magento_Analytics
Back,Back,module,Magento_AsynchronousOperations
Done,Done,module,Magento_AsynchronousOperations
Retry,Retry,module,Magento_AsynchronousOperations
"'Action Details - #' .","'Action Details - #' .",module,Magento_AsynchronousOperations
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update.""",module,Magento_AsynchronousOperations
"Bulk Actions Log","Bulk Actions Log",module,Magento_AsynchronousOperations
"%1 item(s) are currently being updated.","%1 item(s) are currently being updated.",module,Magento_AsynchronousOperations
"Task ""%1"":","Task ""%1"":",module,Magento_AsynchronousOperations
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update.",module,Magento_AsynchronousOperations
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated.",module,Magento_AsynchronousOperations
"%1 item(s) failed to update","%1 item(s) failed to update",module,Magento_AsynchronousOperations
Details,Details,module,Magento_AsynchronousOperations
"View Details","View Details",module,Magento_AsynchronousOperations
